zip3,primary_state,primary_city,centroid_lat,centroid_lng,zip5_count,population,households,median_hh_income,demand_index
748,OK,Shawnee,35.17763,-96.68893,50,198674,72724,56553,9.6
749,OK,Arkoma,35.19006,-94.71964,32,108163,39554,47447,6.3
750,TX,Irving,33.02562,-96.74428,81,2610702,927193,104758,69.4
751,TX,Mesquite,32.57149,-96.46644,61,905950,305072,78734,28.3
752,TX,Dallas,32.786,-96.76375,71,1374681,545724,69420,37.2
753,TX,Dallas,32.76727,-96.77763,48,,,,
754,TX,Greenville,33.34788,-95.81425,84,390218,141597,70603,15.8
755,TX,Texarkana,33.27768,-94.38745,28,125413,47489,56456,8.0
756,TX,Longview,32.45874,-94.64496,57,339374,124512,61986,13.5
757,TX,Tyler,32.24348,-95.33442,46,376548,133967,66596,15.0
758,TX,Palestine,31.4979,-95.66613,33,122220,40077,53773,7.5
759,TX,Lufkin,31.3109,-94.37478,51,253971,94947,51934,10.1
760,TX,Arlington,32.68315,-97.38694,71,1346321,477883,92314,39.9
761,TX,Fort Worth,32.788,-97.29814,59,1074969,385811,73579,31.3
762,TX,Denton,33.39709,-97.26985,47,572226,204444,101966,24.4
763,TX,Wichita Falls,33.81683,-98.76059,32,170271,64655,60709,9.6
764,TX,Stephenville,32.52476,-98.45871,53,149126,56549,64392,9.7
765,TX,Killeen,31.08045,-97.51084,60,556623,197517,65495,18.7
766,TX,Abbott,31.73477,-97.04454,60,168841,61019,68910,10.8
767,TX,Waco,31.55055,-97.18098,18,189646,69771,53715,9.0
768,TX,Brownwood,31.30916,-99.32164,54,84196,32519,55668,7.0
769,TX,San Angelo,31.40747,-100.60281,27,136742,51987,65966,9.6
770,TX,Houston,29.79087,-95.3973,99,3201870,1182109,67647,76.9
772,TX,Houston,29.8302,-95.42964,82,4310,0,,0.1
773,TX,Spring,30.29615,-95.35501,73,1423891,491726,95122,42.1
774,TX,Katy,29.45891,-95.91522,82,1423791,467135,109542,44.2
775,TX,Pasadena,29.58206,-95.10597,70,1318150,464091,84519,38.2
776,TX,Port Arthur,30.1254,-94.1539,36,277570,102796,67484,12.9
777,TX,Beaumont,30.03551,-94.15863,14,141680,51291,57733,8.5
778,TX,Bryan,30.66884,-96.34178,49,344580,127607,63630,13.8
779,TX,Victoria,28.89462,-96.92382,40,169662,63309,66180,10.4
780,TX,Laredo,28.91103,-98.87745,61,602926,195849,72971,20.8
781,TX,New Braunfels,29.19009,-97.98688,46,511026,180573,86337,20.8
782,TX,San Antonio,29.40993,-98.47674,89,1850768,674068,69701,47.6
783,TX,Alice,27.74659,-97.8587,49,230349,83507,55746,10.2
784,TX,Corpus Christi,27.76696,-97.48058,39,319344,117957,66894,13.8
785,TX,Mcallen,26.28846,-98.04053,65,1381093,414098,48688,34.3
786,TX,Round Rock,30.25159,-97.89452,75,1231190,444016,96062,38.0
787,TX,Austin,30.31767,-97.75713,78,1147323,494722,97783,36.4
788,TX,Del Rio,29.27698,-100.09246,36,171083,56992,52345,8.4
789,TX,Round Top,29.90353,-96.81916,28,70312,27109,70850,8.9
790,TX,Borger,35.35129,-101.52665,74,214287,73431,62419,10.8
791,TX,Amarillo,35.30562,-101.87838,41,235679,89621,63834,11.5
792,TX,Childress,34.25221,-100.6012,36,29102,10515,52337,5.3
793,TX,Levelland,33.51625,-102.2069,49,143154,49838,61863,9.2
794,TX,Lubbock,33.57969,-101.87627,27,284494,111784,63750,12.5
795,TX,Rule,32.64402,-100.20886,49,94921,34557,59287,7.7
796,TX,Abilene,32.38011,-99.80624,11,137880,50242,62888,9.2
797,TX,Midland,31.70156,-102.47839,61,448620,166989,78412,18.3
798,TX,Alpine,30.78415,-104.68494,23,69916,23864,43735,4.9
799,TX,El Paso,31.73198,-106.33747,80,815680,277854,57812,23.3
800,CO,Aurora,39.79348,-104.87673,40,920899,345004,98819,31.6
801,CO,Littleton,39.54305,-104.71734,42,751799,288172,127180,32.1
802,CO,Denver,39.74281,-104.83197,75,1136459,490324,86984,34.6
803,CO,Boulder,40.07737,-105.35591,16,129521,54019,85851,12.4
804,CO,Golden,39.81405,-105.92438,63,226201,91957,109253,17.9
805,CO,Fort Collins,40.42141,-105.20406,42,618632,245448,97782,24.8
806,CO,Greeley,40.3071,-104.57557,32,306122,104711,87257,16.5
807,CO,Fort Morgan,40.46316,-103.10276,33,67781,26168,62066,7.5
808,CO,Limon,39.07747,-103.87855,41,129884,47204,86603,12.5
809,CO,Colorado Springs,38.84245,-104.67119,49,610668,236044,84554,22.7
810,CO,Pueblo,37.89418,-103.88501,65,236432,94034,57515,10.6
811,CO,Alamosa,37.44135,-106.2131,35,73942,30552,60767,7.5
812,CO,Canon City,38.51633,-106.15472,34,90844,36970,63807,8.3
813,CO,Durango,37.44069,-108.42644,17,70573,29000,74096,9.4
814,CO,Montrose,38.4731,-108.01518,26,87726,35933,62424,8.0
815,CO,Grand Junction,39.05518,-108.6359,14,152856,61857,69474,10.5
